labor_category_code,labor_category_description,zipcode,city,state,labor_item,labor_item_description,unit_permit_fee,omni_item_id,provider,vbu_number,created_by,created_timestamp,updated_by,updated_timestamp,old_price,county,municipality,est_permit_obtain_days
3,APPL - ELEC COOKING (INLC TRASH COMP),53154,OAK CREEK,WI,227808,Permit and Processing Fee - Ecook,55,5014818701,CRST HOME SOLUTIONS,86557,,,,,,MILWAUKEE,DUMMY_VALUE,1
398,APPL - PREMIUM,53154,OAK CREEK,WI,806280,Permit Fee - Dishwasher,30,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,MILWAUKEE,DUMMY_VALUE,4
398,APPL - PREMIUM,53154,OAK CREEK,WI,7513734,Permit Fee- Elec Walloven and CT,55,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,MILWAUKEE,DUMMY_VALUE,1
6,APPL - DISHWASHERS,53158,PLEASANT PRAIRIE,WI,161646,Permit and Processing Fee - Dish,95,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-07T00:00,,,,KENOSHA,DUMMY_VALUE,3
3,APPL - ELEC COOKING (INLC TRASH COMP),53158,PLEASANT PRAIRIE,WI,227808,Permit and Processing Fee - Ecook,60,5014818701,CRST HOME SOLUTIONS,86557,,,,,,KENOSHA,DUMMY_VALUE,1
398,APPL - PREMIUM,53158,PLEASANT PRAIRIE,WI,806280,Permit Fee - Dishwasher,95,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,KENOSHA,DUMMY_VALUE,3
398,APPL - PREMIUM,53158,PLEASANT PRAIRIE,WI,7513734,Permit Fee- Elec Walloven and CT,60,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,KENOSHA,DUMMY_VALUE,1
3,APPL - ELEC COOKING (INLC TRASH COMP),53167,ROCHESTER,WI,227808,Permit and Processing Fee - Ecook,70,5014818701,CRST HOME SOLUTIONS,86557,,,,,,RACINE,DUMMY_VALUE,1
398,APPL - PREMIUM,53167,ROCHESTER,WI,7513734,Permit Fee- Elec Walloven and CT,70,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,RACINE,DUMMY_VALUE,1
6,APPL - DISHWASHERS,53168,SALEM LAKES,WI,161646,Permit and Processing Fee - Dish,110,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-07T00:00,,,,KENOSHA,DUMMY_VALUE,3
3,APPL - ELEC COOKING (INLC TRASH COMP),53168,SALEM LAKES,WI,227808,Permit and Processing Fee - Ecook,65,5014818701,CRST HOME SOLUTIONS,86557,,,,,,KENOSHA,DUMMY_VALUE,1
398,APPL - PREMIUM,53168,SALEM LAKES,WI,806280,Permit Fee - Dishwasher,110,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,KENOSHA,DUMMY_VALUE,3
398,APPL - PREMIUM,53168,SALEM LAKES,WI,7513734,Permit Fee- Elec Walloven and CT,65,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,KENOSHA,DUMMY_VALUE,1
6,APPL - DISHWASHERS,53170,SALEM LAKES,WI,161646,Permit and Processing Fee - Dish,110,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-07T00:00,,,,KENOSHA,DUMMY_VALUE,3
398,APPL - PREMIUM,53170,SALEM LAKES,WI,806280,Permit Fee - Dishwasher,110,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,KENOSHA,DUMMY_VALUE,3
3,APPL - ELEC COOKING (INLC TRASH COMP),53171,SOMERS,WI,227808,Permit and Processing Fee - Ecook,45,5014818701,CRST HOME SOLUTIONS,86557,,,,,,KENOSHA,DUMMY_VALUE,1
398,APPL - PREMIUM,53171,SOMERS,WI,7513734,Permit Fee- Elec Walloven and CT,45,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,KENOSHA,DUMMY_VALUE,1
6,APPL - DISHWASHERS,53172,SOUTH MILWAKEE,WI,161646,Permit and Processing Fee - Dish,57,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-08T00:00,,,,MILWAUKEE,DUMMY_VALUE,4
3,APPL - ELEC COOKING (INLC TRASH COMP),53172,SOUTH MILWAUKEE,WI,227808,Permit and Processing Fee - Ecook,55,5014818701,CRST HOME SOLUTIONS,86557,,,,,,MILWAUKEE,DUMMY_VALUE,1
398,APPL - PREMIUM,53172,SOUTH MILWAKEE,WI,806280,Permit Fee - Dishwasher,57,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,MILWAUKEE,DUMMY_VALUE,4
398,APPL - PREMIUM,53172,SOUTH MILWAUKEE,WI,7513734,Permit Fee- Elec Walloven and CT,55,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,MILWAUKEE,DUMMY_VALUE,1
6,APPL - DISHWASHERS,53177,SOMERS,WI,161646,Permit and Processing Fee - Dish,65,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-07T00:00,,,,KENOSHA,DUMMY_VALUE,3
3,APPL - ELEC COOKING (INLC TRASH COMP),53177,STURTEVANT,WI,227808,Permit and Processing Fee - Ecook,70,5014818701,CRST HOME SOLUTIONS,86557,,,,,,RACINE,DUMMY_VALUE,1
398,APPL - PREMIUM,53177,SOMERS,WI,806280,Permit Fee - Dishwasher,65,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,KENOSHA,DUMMY_VALUE,3
398,APPL - PREMIUM,53177,STURTEVANT,WI,7513734,Permit Fee- Elec Walloven and CT,70,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,RACINE,DUMMY_VALUE,1
6,APPL - DISHWASHERS,53179,SALEM LAKES,WI,161646,Permit and Processing Fee - Dish,110,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-07T00:00,,,,KENOSHA,DUMMY_VALUE,3
398,APPL - PREMIUM,53179,SALEM LAKES,WI,806280,Permit Fee - Dishwasher,110,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,KENOSHA,DUMMY_VALUE,3
3,APPL - ELEC COOKING (INLC TRASH COMP),53181,TWIN LAKES,WI,227808,Permit and Processing Fee - Ecook,70,5014818701,CRST HOME SOLUTIONS,86557,,,,,,KENOSHA,DUMMY_VALUE,1
398,APPL - PREMIUM,53181,TWIN LAKES,WI,7513734,Permit Fee- Elec Walloven and CT,70,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,KENOSHA,DUMMY_VALUE,1
3,APPL - ELEC COOKING (INLC TRASH COMP),53182,TROY,WI,227808,Permit and Processing Fee - Ecook,65,5014818701,CRST HOME SOLUTIONS,86557,,,,,,RACINE,DUMMY_VALUE,1
3,APPL - ELEC COOKING (INLC TRASH COMP),53182,UNION GROVE,WI,227808,Permit and Processing Fee - Ecook,70,5014818701,CRST HOME SOLUTIONS,86557,,,,,,RACINE,DUMMY_VALUE,1
398,APPL - PREMIUM,53182,TROY,WI,7513734,Permit Fee- Elec Walloven and CT,65,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,RACINE,DUMMY_VALUE,1
398,APPL - PREMIUM,53182,UNION GROVE,WI,7513734,Permit Fee- Elec Walloven and CT,70,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,RACINE,DUMMY_VALUE,1
3,APPL - ELEC COOKING (INLC TRASH COMP),53183,WALES,WI,227808,Permit and Processing Fee - Ecook,35,5014818701,CRST HOME SOLUTIONS,86557,,,,,,WAUKESHA,DUMMY_VALUE,1
398,APPL - PREMIUM,53183,WALES,WI,7513734,Permit Fee- Elec Walloven and CT,35,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,1
3,APPL - ELEC COOKING (INLC TRASH COMP),53185,NORWAY,WI,227808,Permit and Processing Fee - Ecook,72,5014818701,CRST HOME SOLUTIONS,86557,,,,,,RACINE,DUMMY_VALUE,1
3,APPL - ELEC COOKING (INLC TRASH COMP),53185,WATERFORD,WI,227808,Permit and Processing Fee - Ecook,60,5014818701,CRST HOME SOLUTIONS,86557,,,,,,RACINE,DUMMY_VALUE,1
398,APPL - PREMIUM,53185,NORWAY,WI,7513734,Permit Fee- Elec Walloven and CT,72,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,RACINE,DUMMY_VALUE,1
398,APPL - PREMIUM,53185,WATERFORD,WI,7513734,Permit Fee- Elec Walloven and CT,60,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,RACINE,DUMMY_VALUE,1
6,APPL - DISHWASHERS,53186,WAUKESHA,WI,161646,Permit and Processing Fee - Dish,75,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-08T00:00,,,,WAUKESHA,DUMMY_VALUE,2
3,APPL - ELEC COOKING (INLC TRASH COMP),53186,WAUKESHA,WI,227808,Permit and Processing Fee - Ecook,75,5014818701,CRST HOME SOLUTIONS,86557,,,,,,WAUKESHA,DUMMY_VALUE,1
398,APPL - PREMIUM,53186,WAUKESHA,WI,806280,Permit Fee - Dishwasher,75,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,2
398,APPL - PREMIUM,53186,WAUKESHA,WI,7513734,Permit Fee- Elec Walloven and CT,75,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,1
3,APPL - ELEC COOKING (INLC TRASH COMP),53187,WAUKESHA,WI,227808,Permit and Processing Fee - Ecook,75,5014818701,CRST HOME SOLUTIONS,86557,,,,,,WAUKESHA,DUMMY_VALUE,1
398,APPL - PREMIUM,53187,WAUKESHA,WI,7513734,Permit Fee- Elec Walloven and CT,75,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,1
6,APPL - DISHWASHERS,53188,WAUKESHA,WI,161646,Permit and Processing Fee - Dish,75,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-08T00:00,,,,WAUKESHA,DUMMY_VALUE,2
3,APPL - ELEC COOKING (INLC TRASH COMP),53188,WAUKESHA,WI,227808,Permit and Processing Fee - Ecook,55,5014818701,CRST HOME SOLUTIONS,86557,,,,,,WAUKESHA,DUMMY_VALUE,1
398,APPL - PREMIUM,53188,WAUKESHA,WI,806280,Permit Fee - Dishwasher,75,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,2
398,APPL - PREMIUM,53188,WAUKESHA,WI,7513734,Permit Fee- Elec Walloven and CT,55,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,1
6,APPL - DISHWASHERS,53189,WAUKESHA,WI,161646,Permit and Processing Fee - Dish,75,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-08T00:00,,,,WAUKESHA,DUMMY_VALUE,2
398,APPL - PREMIUM,53189,WAUKESHA,WI,806280,Permit Fee - Dishwasher,75,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,2
6,APPL - DISHWASHERS,53191,WILLIAMS BAY,WI,161646,Permit and Processing Fee - Dish,90,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-07T00:00,,,,WALWORTH,DUMMY_VALUE,7
6,APPL - DISHWASHERS,53191,DELAVAN,WI,161646,Permit and Processing Fee - Dish,55,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-07T00:00,,,,WALWORTH,DUMMY_VALUE,7
398,APPL - PREMIUM,53191,WILLIAMS BAY,WI,806280,Permit Fee - Dishwasher,90,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WALWORTH,DUMMY_VALUE,7
398,APPL - PREMIUM,53191,DELAVAN,WI,806280,Permit Fee - Dishwasher,55,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WALWORTH,DUMMY_VALUE,7
6,APPL - DISHWASHERS,53192,SALEM LAKES,WI,161646,Permit and Processing Fee - Dish,110,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-07T00:00,,,,KENOSHA,DUMMY_VALUE,3
398,APPL - PREMIUM,53192,SALEM LAKES,WI,806280,Permit Fee - Dishwasher,110,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,KENOSHA,DUMMY_VALUE,3
